regiao,estado,latitude,longitude,dataColeta,valorVenda
SE,SP,-22.32743659999997,-49.08405319999999,06/04/2021,5.09
N,TO,-5.487890799999975,-47.97220790000001,13/05/2020,3.899
SE,RJ,-22.87924379999998,-43.4510206,03/02/2020,4.999
N,AC,-9.963001999999975,-67.8083797,21/12/2021,6.89
NE,CE,-3.789135199999975,-38.5169284,21/03/2021,5.47
N,AC,-7.630428499999976,-72.6684499,22/07/2020,5.21
NE,PE,-9.386328799999976,-40.4887589,19/10/2021,6.82
N,AM,-3.118033899999975,-60.00578689999999,17/03/2022,7.29
CO,MT,-15.6107105,-56.0521754,11/08/2021,5.777
CO,GO,-16.68743079999998,-49.2694479,30/09/2021,6.39
SE,SP,-23.52770249999998,-46.1937279,07/04/2020,4.099
N,AM,-3.114866999999975,-60.0166847,16/11/2020,3.69
SE,SP,-23.00168889999997,-49.8831278,15/09/2021,5.599
NE,CE,-3.759805599999975,-38.4810878,07/07/2020,4.09
SE,SP,-23.5038776,-47.48735629999999,06/05/2021,5.179
SE,SP,-22.7656159,-47.1404766,13/01/2020,4.299
S,RS,-29.91773549999997,-51.1661209,14/04/2020,4.199
SE,SP,-23.55402019999998,-46.5837254,28/06/2022,6.49
CO,MT,-15.5927744,-56.09192669999999,09/03/2022,6.39
SE,MG,-21.4203893,-45.9562857,01/06/2022,7.69
SE,RJ,-22.83621789999997,-43.3013035,11/01/2021,5.139
CO,GO,-16.35087019999997,-48.911976,26/02/2020,4.59
CO,GO,-16.73300519999998,-49.254347,10/05/2022,7.64
NE,BA,-12.8844466,-38.432407,14/07/2020,4.22
SE,ES,-19.5304558,-40.6182873,19/05/2020,3.899
SE,SP,-23.66478029999998,-46.4319983,17/08/2020,3.899
SE,ES,-20.36270889999997,-40.3184494,10/11/2020,4.199
SE,SP,-22.76006209999998,-47.3250661,14/07/2020,3.877
S,SC,-27.63719689999997,-48.6653335,08/12/2021,6.738
NE,BA,-12.9119059,-38.4941904,20/06/2021,5.999
NE,MA,-2.558335699999974,-44.24119570000001,24/03/2021,5.22
S,SC,-27.6259985,-48.673482,14/07/2020,4.299
SE,SP,-21.4756566,-47.0087094,30/06/2020,4.199
N,PA,-1.402814299999975,-48.44395399999999,08/06/2022,7.39
SE,RJ,-22.80580989999997,-42.9694191,08/06/2022,7.59
S,RS,-29.68670389999996,-52.4438654,13/10/2021,6.599
S,RS,-29.68578869999997,-51.12855400000001,27/01/2020,4.599
S,PR,-23.40439429999998,-51.4272084,13/01/2021,4.79
SE,SP,-22.37486769999998,-46.97122599999999,17/02/2022,6.19
SE,SP,-22.92643259999998,-46.9680287,01/12/2021,6.199
N,AC,-9.982038199999975,-67.8064663,22/06/2020,4.549
NE,CE,-3.7315036,-38.5435678,01/06/2020,3.87
S,PR,-25.42815589999998,-49.18268500000001,26/05/2021,5.397
SE,MG,-17.2230319,-46.8591989,25/03/2020,4.999
SE,SP,-23.54269169999997,-46.5538651,15/09/2021,5.699
S,SC,-27.6425022,-48.6721042,18/01/2022,6.79
SE,SP,-23.5267343,-46.7938116,23/09/2021,5.899
CO,MT,-16.46068389999997,-54.6331073,08/04/2020,3.899
S,SC,-27.00528729999998,-51.14360780000001,01/03/2022,6.49
NE,BA,-14.79218709999997,-39.0483432,22/06/2020,4.37
CO,MT,-15.58137239999997,-56.0833872,12/07/2021,5.977
NE,PE,-7.938151699999976,-34.8639066,09/02/2021,4.829
S,RS,-28.26778109999998,-52.3661335,12/04/2022,6.26
SE,SP,-23.09766639999997,-48.9153907,17/11/2021,6.159
CO,GO,-16.3088829,-48.94296989999999,28/07/2020,4.099
SE,RJ,-22.91342709999997,-43.679185,22/06/2022,8.09
CO,DF,-15.8615056,-48.0862331,04/10/2021,6.149
SE,SP,-23.66472779999998,-46.42951039999999,16/05/2021,5.299
NE,CE,-3.729408199999975,-38.5096525,12/01/2021,4.699
SE,SP,-23.6644516,-46.4522984,12/01/2021,4.177
NE,AL,-9.727149399999975,-36.665636,26/01/2021,4.95
CO,MT,-12.53246879999998,-55.71528,11/04/2022,7.25
SE,SP,-23.94286389999997,-46.39469570000001,19/07/2021,5.299
SE,SP,-23.54199319999998,-47.46054249999999,04/04/2022,6.69
SE,SP,-22.92546959999997,-48.44171179999999,10/05/2022,7.12
SE,RJ,-22.53336659999997,-43.2001832,10/08/2021,6.899
