regiao,latitude,longitude,dataColeta,valorVenda,diesel,dieselS10,etanol,gasolina,gasolinaAditivada,gnv
SE,-23.66790059999997,-46.45884419999999,22/12/2021,5.069,0,1,0,0,0,0
CO,-9.864099799999977,-56.0735012,09/12/2021,6.059,0,0,1,0,0,0
NE,-12.26082129999997,-38.9676973,24/06/2021,4.85,0,0,1,0,0,0
SE,-22.90529339999997,-43.1046674,09/02/2021,3.899,0,0,1,0,0,0
SE,-22.66138299999998,-50.40089150000001,20/12/2021,6.399,0,0,0,1,0,0
NE,-7.947735099999974,-34.85580390000001,04/01/2021,3.699,0,0,1,0,0,0
S,-25.09003949999998,-50.19657669999999,24/05/2021,5.499,0,0,0,0,1,0
S,-25.38557209999997,-51.45745540000001,09/06/2021,4.199,0,1,0,0,0,0
SE,-20.22475049999997,-40.2702197,29/08/2021,5.129,0,0,1,0,0,0
SE,-22.80864549999997,-43.06986939999999,05/10/2021,4.939,1,0,0,0,0,0
N,-11.71648009999998,-49.0735934,13/12/2021,5.57,1,0,0,0,0,0
SE,-23.45757319999997,-46.6023671,04/08/2021,4.299,0,1,0,0,0,0
NE,-3.703496099999974,-38.5410994,16/05/2021,4.794,0,0,1,0,0,0
S,-23.40265079999998,-51.9562204,17/03/2021,5.45,0,0,0,0,1,0
SE,-22.1921414,-41.68097239999999,16/12/2021,5.589,0,0,0,0,0,1
SE,-23.53332439999997,-46.21147679999999,23/11/2021,5.399,0,1,0,0,0,0
SE,-21.20009129999997,-50.4460346,19/01/2021,2.797,0,0,1,0,0,0
SE,-22.89273439999998,-42.4683279,19/07/2021,4.669,1,0,0,0,0,0
SE,-23.09072899999997,-47.211941,09/05/2021,5.199,0,0,0,1,0,0
NE,-7.950146799999975,-34.8677989,29/11/2021,6.89,0,0,0,0,1,0
SE,-22.81415619999997,-43.2105873,29/11/2021,7.449,0,0,0,1,0,0
NE,-5.2084972,-37.33246,21/09/2021,6.429,0,0,0,0,1,0
SE,-23.50678359999997,-46.89137820000001,23/12/2021,4.799,0,0,1,0,0,0
SE,-24.01313319999997,-46.4452824,26/10/2021,6.699,0,0,0,0,1,0
S,-29.70655619999998,-53.8511586,10/11/2021,7.299,0,0,0,0,1,0
SE,-22.32524249999997,-49.08191559999999,06/04/2021,4.19,1,0,0,0,0,0
SE,-22.7656159,-47.1404766,15/03/2021,5.299,0,0,0,0,1,0
SE,-23.65278669999998,-46.44063,06/12/2021,4.999,0,0,1,0,0,0
SE,-23.14453079999997,-46.8065417,24/03/2021,4.191,0,0,1,0,0,0
S,-27.5890465,-48.55740960000001,23/02/2021,5.199,0,0,0,1,0,0
SE,-22.34943709999998,-49.0830344,21/09/2021,5.69,0,0,0,0,1,0
CO,-15.6228265,-56.1087548,30/11/2021,6.799,0,0,0,1,0,0
SE,-22.38585379999997,-47.5531638,10/08/2021,4.659,0,1,0,0,0,0
SE,-23.4905056,-46.3861265,09/06/2021,4.189,0,1,0,0,0,0
NE,-2.903584199999975,-41.7528425,02/06/2021,6.19,0,0,0,1,0,0
SE,-22.47073169999997,-44.4635644,31/08/2021,6.579,0,0,0,1,0,0
SE,-20.53806999999997,-48.5536385,20/04/2021,4.299,1,0,0,0,0,0
SE,-23.4769999,-46.6106309,11/11/2021,6.299,0,0,0,0,1,0
SE,-22.69486379999998,-46.76761799999999,13/12/2021,4.999,0,0,1,0,0,0
SE,-22.23319249999997,-42.5200497,09/08/2021,4.499,1,0,0,0,0,0
SE,-19.77026249999997,-47.9447178,09/11/2021,5.29,1,0,0,0,0,0
SE,-20.65844669999997,-43.7695428,20/09/2021,6.299,0,0,0,0,1,0
SE,-19.88510809999998,-44.0376997,09/02/2021,3.649,0,1,0,0,0,0
S,-23.41018889999997,-51.987437,20/08/2021,5.9,0,0,0,1,0,0
NE,-8.1142975,-35.276436,17/03/2021,5.59,0,0,0,0,1,0
SE,-19.81289619999997,-43.9271265,15/09/2021,4.697,0,0,1,0,0,0
S,-29.8436994,-51.1471185,07/04/2021,5.299,0,0,0,1,0,0
NE,-3.7889362,-38.5450133,29/09/2021,5.999,0,0,0,0,1,0
SE,-22.738493,-47.6594827,20/12/2021,4.897,0,0,1,0,0,0
SE,-18.89271549999997,-48.26058880000001,21/07/2021,4.799,0,1,0,0,0,0
S,-25.51523859999997,-49.2005759,07/09/2021,4.699,0,0,1,0,0,0
CO,-20.45096819999997,-54.61287549999999,28/07/2021,4.559,0,1,0,0,0,0
SE,-22.41094249999997,-47.55750519999999,03/03/2021,3.657,0,0,1,0,0,0
SE,-18.91141789999997,-48.2631644,29/03/2021,5.49,0,0,0,0,1,0
NE,-12.7873933,-38.4034047,02/11/2021,5.59,0,1,0,0,0,0
SE,-23.62243119999997,-46.6012778,18/05/2021,5.799,0,0,0,0,1,0
NE,-12.9966614,-38.4944584,22/03/2021,5.67,0,0,0,1,0,0
S,-25.53357949999997,-54.5758905,24/05/2021,5.73,0,0,0,1,0,0
SE,-21.12766359999997,-47.98415900000001,09/08/2021,5.599,0,0,0,1,0,0
NE,-3.7817796,-38.57656739999999,01/11/2021,6.94,0,0,0,1,0,0
NE,-3.733653199999975,-38.4764975,06/06/2021,5.799,0,0,0,1,0,0
NE,-14.2027983,-42.7808776,04/10/2021,6.397,0,0,0,1,0,0
S,-27.486771,-48.6560755,05/08/2021,5.999,0,0,0,0,1,0
SE,-22.7840119,-47.1415414,16/02/2021,3.699,0,1,0,0,0,0
